    2016v3 --> 164408000 events
      2017 --> 101520000 events
      2018 --> 93446000 events
    2016v2 --> 89743000 events

recommended       type    mass         V2    ctau (mm)  ctauRatioToTheory   events                cross section  miniAOD directory
          *   majorana     2.0     0.0012      44.7295               0.75    98000       2.258e+00 +- 2.276e-03   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-2_V-0.0353_tau_massiveAndCKM_LO_tauLeptonic
          *   majorana     5.0      0.005       0.0294               0.49   100000       2.000e+01 +- 2.008e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.0707106781187_e_massiveAndCKM_LO
          *   majorana     5.0      0.005       0.0294               0.49   100000       1.986e+01 +- 1.986e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.0707106781187_e_massiveAndCKM_LO
          *   majorana     5.0      0.005       0.0294               0.49   100000       1.999e+01 +- 2.010e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.0707106781187_e_massiveAndCKM_LO
          *   majorana     5.0      0.005       0.0295               0.50   100000       1.988e+01 +- 1.995e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.0707106781187_mu_massiveAndCKM_LO
          *   majorana     5.0      0.005       0.0295               0.50   100000       1.957e+01 +- 1.957e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.0707106781187_mu_massiveAndCKM_LO
          *   majorana     5.0      0.005       0.0295               0.50   100000       1.986e+01 +- 1.996e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.0707106781187_mu_massiveAndCKM_LO
          *   majorana     4.0      0.005       0.0968               0.50   100000       1.991e+01 +- 2.003e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-4_V-0.0707106781187_e_massiveAndCKM_LO
          *   majorana     4.0      0.005       0.0968               0.50   100000       1.974e+01 +- 1.976e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-4_V-0.0707106781187_e_massiveAndCKM_LO
          *   majorana     4.0      0.005       0.0968               0.50   100000       1.991e+01 +- 2.005e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-4_V-0.0707106781187_e_massiveAndCKM_LO
          *   majorana     4.0      0.005       0.0970               0.52   100000       1.986e+01 +- 1.996e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-4_V-0.0707106781187_mu_massiveAndCKM_LO
          *   majorana     4.0      0.005       0.0970               0.52   100000       1.957e+01 +- 1.959e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-4_V-0.0707106781187_mu_massiveAndCKM_LO
          *   majorana     4.0      0.005       0.0970               0.52   100000       1.985e+01 +- 1.993e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-4_V-0.0707106781187_mu_massiveAndCKM_LO
          *   majorana     1.0      0.009      70.7357               0.51   250000       3.823e+01 +- 3.844e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_e_massiveAndCKM_LO
          *   majorana     1.0      0.009      70.7357               0.51   250000       3.824e+01 +- 3.843e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_e_massiveAndCKM_LO
          *   majorana     1.0      0.009      70.7357               0.51   250000       3.820e+01 +- 3.852e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_e_massiveAndCKM_LO
          *   majorana     1.0      0.009      74.2223               0.54   250000       3.867e+01 +- 3.890e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_mu_massiveAndCKM_LO
          *   majorana     1.0      0.009      74.2223               0.54   250000       3.870e+01 +- 3.905e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_mu_massiveAndCKM_LO
          *   majorana     1.0      0.009      74.2223               0.54   250000       3.873e+01 +- 3.887e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_mu_massiveAndCKM_LO
          *   majorana     1.0      0.009     205.1118               0.57    91000       1.572e+01 +- 1.585e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.0949736805647_tau_massiveAndCKM_LO
          *   majorana     8.0       0.01       0.0012               0.47   100000       4.094e+01 +- 4.118e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.1_e_massiveAndCKM_LO
          *   majorana     8.0       0.01       0.0012               0.47   100000       4.068e+01 +- 4.081e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.1_e_massiveAndCKM_LO
          *   majorana     8.0       0.01       0.0012               0.47   100000       4.096e+01 +- 4.114e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.1_e_massiveAndCKM_LO
          *   majorana     8.0       0.01       0.0013               0.49   100000       4.103e+01 +- 4.129e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.1_mu_massiveAndCKM_LO
          *   majorana     8.0       0.01       0.0013               0.49   100000       4.055e+01 +- 4.068e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.1_mu_massiveAndCKM_LO
          *   majorana     8.0       0.01       0.0013               0.49   100000       4.106e+01 +- 4.138e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.1_mu_massiveAndCKM_LO
          *   majorana     7.0       0.01       0.0025               0.47   100000       4.074e+01 +- 4.092e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-7_V-0.1_e_massiveAndCKM_LO
          *   majorana     7.0       0.01       0.0025               0.49   100000       4.065e+01 +- 4.094e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-7_V-0.1_mu_massiveAndCKM_LO
          *   majorana     7.0       0.01       0.0025               0.47   100000       4.049e+01 +- 4.065e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-7_V-0.1_e_massiveAndCKM_LO
          *   majorana     7.0       0.01       0.0025               0.49   100000       4.018e+01 +- 4.034e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-7_V-0.1_mu_massiveAndCKM_LO
          *   majorana     7.0       0.01       0.0025               0.47   100000       4.070e+01 +- 4.107e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-7_V-0.1_e_massiveAndCKM_LO
          *   majorana     7.0       0.01       0.0025               0.49   100000       4.074e+01 +- 4.100e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-7_V-0.1_mu_massiveAndCKM_LO
          *   majorana     6.0       0.01       0.0056               0.47   100000       4.029e+01 +- 4.045e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-6_V-0.1_e_massiveAndCKM_LO
          *   majorana     6.0       0.01       0.0056               0.49   100000       4.033e+01 +- 4.064e-02     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-6_V-0.1_mu_massiveAndCKM_LO
          *   majorana     6.0       0.01       0.0056               0.47   100000       3.996e+01 +- 4.016e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-6_V-0.1_e_massiveAndCKM_LO
          *   majorana     6.0       0.01       0.0056               0.49   100000       3.968e+01 +- 3.988e-02     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-6_V-0.1_mu_massiveAndCKM_LO
          *   majorana     6.0       0.01       0.0056               0.47   100000       4.031e+01 +- 4.062e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-6_V-0.1_e_massiveAndCKM_LO
          *   majorana     6.0       0.01       0.0056               0.49   100000       4.040e+01 +- 4.074e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-6_V-0.1_mu_massiveAndCKM_LO
          *   majorana     1.0      0.045      14.1471               0.51   250000       1.911e+02 +- 1.925e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_e_massiveAndCKM_LO
          *   majorana     1.0      0.045      14.1471               0.51   250000       1.907e+02 +- 1.921e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_e_massiveAndCKM_LO
          *   majorana     1.0      0.045      14.1471               0.51        ?       1.910e+02 +- 1.918e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_e_massiveAndCKM_LO
          *   majorana     1.0      0.045      14.8445               0.54   250000       1.933e+02 +- 1.948e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_mu_massiveAndCKM_LO
          *   majorana     1.0      0.045      14.8445               0.54   250000       1.933e+02 +- 1.946e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_mu_massiveAndCKM_LO
          *   majorana     1.0      0.045      14.8445               0.54   250000       1.936e+02 +- 1.947e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_mu_massiveAndCKM_LO
          *   majorana     1.0      0.045      41.0224               0.57    96000       7.856e+01 +- 7.897e-02   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.212367605816_tau_massiveAndCKM_LO
          *   majorana     5.0       0.05       0.0029               0.49   100000       1.998e+02 +- 2.003e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     5.0       0.05       0.0029               0.49   100000       1.980e+02 +- 1.979e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     5.0       0.05       0.0029               0.49   100000       1.997e+02 +- 2.008e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     5.0       0.05       0.0030               0.50   100000       1.988e+02 +- 1.992e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     5.0       0.05       0.0030               0.50   100000       1.958e+02 +- 1.958e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     5.0       0.05       0.0030               0.50   100000       1.987e+02 +- 1.992e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     4.0       0.05       0.0097               0.50   100000       1.989e+02 +- 2.000e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-4_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     4.0       0.05       0.0097               0.52   100000       1.987e+02 +- 1.990e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-4_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     4.0       0.05       0.0097               0.50   100000       1.966e+02 +- 1.968e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-4_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     4.0       0.05       0.0097               0.52   100000       1.957e+02 +- 1.959e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-4_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     4.0       0.05       0.0097               0.50   100000       1.992e+02 +- 2.001e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-4_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     4.0       0.05       0.0097               0.52   100000       1.988e+02 +- 1.998e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-4_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     3.0       0.05       0.0454               0.53   100000       2.021e+02 +- 2.032e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-3_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     3.0       0.05       0.0454               0.53   100000       2.004e+02 +- 2.009e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-3_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     3.0       0.05       0.0454               0.53   100000       2.021e+02 +- 2.036e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-3_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     3.0       0.05       0.0456               0.55   100000       2.011e+02 +- 2.020e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-3_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     3.0       0.05       0.0456               0.55   100000       1.974e+02 +- 1.979e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-3_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     3.0       0.05       0.0456               0.55   100000       2.010e+02 +- 2.025e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-3_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     2.0       0.05       0.3844               0.56   100000       2.143e+02 +- 2.161e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-2_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     2.0       0.05       0.3844               0.56   100000       2.123e+02 +- 2.130e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-2_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     2.0       0.05       0.3844               0.56   100000       2.144e+02 +- 2.161e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-2_V-0.22360679775_e_massiveAndCKM_LO
          *   majorana     2.0       0.05       0.3887               0.57   100000       2.144e+02 +- 2.157e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-2_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     2.0       0.05       0.3887               0.57   100000       2.111e+02 +- 2.118e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-2_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     2.0       0.05       0.3887               0.57   100000       2.145e+02 +- 2.158e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-2_V-0.22360679775_mu_massiveAndCKM_LO
          *   majorana     1.0       0.11      17.0927               0.57   250000       1.886e+02 +- 1.897e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.329_tau_massiveAndCKM_LO
          *   majorana     1.0       0.11      17.0927               0.57    45000       1.888e+02 +- 1.898e-01     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.329_tau_massiveAndCKM_LO_tauLeptonic
          *   majorana     1.0       0.11      17.0927               0.57   250000       1.889e+02 +- 1.897e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.329_tau_massiveAndCKM_LO
          *   majorana     1.0       0.11      17.0927               0.57    30000       1.888e+02 +- 1.895e-01     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.329_tau_massiveAndCKM_LO_tauLeptonic
          *   majorana     1.0       0.11      17.0927               0.57   999000       1.886e+02 +- 1.907e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.329_tau_massiveAndCKM_LO
          *   majorana     1.0       0.11      17.0927               0.57   114000       1.886e+02 +- 1.902e-01   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.329_tau_massiveAndCKM_LO_tauLeptonic
          *   majorana     3.0        0.5       0.0045               0.53   100000       2.019e+03 +- 2.030e+00     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-3_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     3.0        0.5       0.0045               0.53   100000       2.000e+03 +- 2.004e+00     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-3_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     3.0        0.5       0.0045               0.53   100000       2.023e+03 +- 2.034e+00   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-3_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     3.0        0.5       0.0046               0.55   100000       2.005e+03 +- 2.019e+00     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-3_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     3.0        0.5       0.0046               0.55   100000       1.971e+03 +- 1.976e+00     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-3_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     3.0        0.5       0.0046               0.55   100000            not yet available   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-3_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     2.0        0.5       0.0384               0.56   100000       2.141e+03 +- 2.150e+00     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-2_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     2.0        0.5       0.0384               0.56   100000       2.120e+03 +- 2.127e+00     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-2_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     2.0        0.5       0.0384               0.56   100000       2.144e+03 +- 2.161e+00   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-2_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     2.0        0.5       0.0389               0.57   100000       2.143e+03 +- 2.157e+00     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-2_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     2.0        0.5       0.0389               0.57   100000       2.108e+03 +- 2.115e+00     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-2_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     2.0        0.5       0.0389               0.57   100000            not yet available   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-2_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     1.0        0.5       1.2761               0.51   100000       2.120e+03 +- 2.132e+00     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     1.0        0.5       1.2761               0.51   100000       2.090e+03 +- 2.098e+00     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     1.0        0.5       1.2761               0.51   100000       2.121e+03 +- 2.137e+00   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.707106781187_e_massiveAndCKM_LO
          *   majorana     1.0        0.5       1.3390               0.54   100000       2.146e+03 +- 2.161e+00     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-1_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     1.0        0.5       1.3390               0.54   100000       2.113e+03 +- 2.121e+00     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-1_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana     1.0        0.5       1.3390               0.54   100000       2.144e+03 +- 2.155e+00   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-1_V-0.707106781187_mu_massiveAndCKM_LO
          *   majorana    20.0    7.5e-11    1503.7930               0.51   200000       6.152e-07 +- 6.129e-10     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_mu_massiveAndCKM_LO
          *   majorana    20.0    7.5e-11    1503.7930               0.51   250000       6.141e-07 +- 6.130e-10     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_mu_massiveAndCKM_LO
          *   majorana    20.0    7.5e-11    1503.7930               0.51   250000       6.149e-07 +- 6.134e-10   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_mu_massiveAndCKM_LO
          *   majorana    20.0    7.5e-11    1505.0203               0.48   200000       6.157e-07 +- 6.129e-10     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_e_massiveAndCKM_LO
          *   majorana    20.0    7.5e-11    1505.0203               0.48   250000       6.160e-07 +- 6.138e-10     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_lljj_M-20_V-8.64869932418e-06_e_massiveAndCKM_LO
