    2016v3 --> 164408000 events
      2017 --> 101520000 events
      2018 --> 93446000 events
    2016v2 --> 89743000 events

recommended       type    mass         V2    ctau (mm)  ctauRatioToTheory   events                cross section  miniAOD directory
          *      dirac    10.0      3e-07      26.3949               0.94   150000       7.203e-04 +- 3.180e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      3e-07      26.4079               0.99   100000       7.193e-04 +- 3.447e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0      3e-07      26.4079               0.99   200000       7.194e-04 +- 3.182e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-10_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac    10.0      3e-07      26.4079               0.99   197000       7.193e-04 +- 3.188e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-10_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      3e-07      83.4244               0.94   100000       7.160e-04 +- 3.178e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      3e-07      83.4244               0.94   200000       7.164e-04 +- 3.244e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      3e-07      83.4244               0.94   148000       7.166e-04 +- 3.175e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac     8.0      3e-07      83.5332               0.98   200000       7.165e-04 +- 3.148e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-8_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      3e-07      83.5332               0.98   200000       7.173e-04 +- 3.192e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-8_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac     8.0      3e-07      83.5332               0.98   200000       7.174e-04 +- 3.157e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-8_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0      3e-07     981.0102               0.97   100000       6.978e-04 +- 3.070e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0      3e-07     981.0102               0.97   199000       6.976e-04 +- 3.060e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0      3e-07     981.0102               0.97   195000       6.980e-04 +- 3.026e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.000547722557505_e_Dirac_massiveAndCKM_LO
          *      dirac     5.0      3e-07     983.7681               1.01   100000       6.979e-04 +- 3.066e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-5_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0      3e-07     983.7681               1.01   200000       6.971e-04 +- 3.057e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-5_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac     5.0      3e-07     983.7681               1.01   200000       6.980e-04 +- 3.009e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-5_V-0.000547722557505_mu_Dirac_massiveAndCKM_LO
          *      dirac    20.0      1e-06       0.2255               1.02   100000       2.240e-03 +- 9.795e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-20_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac    20.0      1e-06       0.2255               1.02   200000       2.231e-03 +- 9.757e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-20_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac    20.0      1e-06       0.2255               1.02   199000       2.236e-03 +- 9.651e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-20_V-0.001_mu_Dirac_massiveAndCKM_LO
          *      dirac    20.0      1e-06       0.2256               0.97   100000       2.232e-03 +- 9.911e-07     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-20_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac    20.0      1e-06       0.2256               0.97   200000       2.239e-03 +- 9.768e-07     2017 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Fall17/displaced/HeavyNeutrino_trilepton_M-20_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac    20.0      1e-06       0.2256               0.97   200000       2.236e-03 +- 9.713e-07   2016v3 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Moriond17_aug2018_miniAODv3/displaced/HeavyNeutrino_trilepton_M-20_V-0.001_e_Dirac_massiveAndCKM_LO
          *      dirac    10.0      1e-06       7.9184               0.94   100000       2.403e-03 +- 1.096e-06     2018 /pnfs/iihe/cms/store/user/tomc/heavyNeutrinoMiniAOD/Autumn18/displaced/HeavyNeutrino_trilepton_M-10_V-0.001_e_Dirac_massiveAndCKM_LO
